Przypadek;Rozmiar;Wype³nienie;Funkcja;Strategia;CzasInsert[ms];AvgInsertProbes;CzasRemove[ms];AvgRemoveProbes;;;;;;;;;
Optymistyczny;30000;25;Multiplicative;TwoChoice;0.134;0.000;0.148;1.000;;;;;;;;;
Optymistyczny;30000;25;XOR+Shift;Linear;0.969;34.947;0.792;34.947;;;;;;;;;
Optymistyczny;30000;25;XOR+Shift;Quadratic;0.300;5.466;0.339;5.466;;;;;;;;;
Optymistyczny;30000;25;XOR+Shift;RobinHood;4.195;34.947;1.783;34.947;;;;;;;;;
Optymistyczny;30000;25;XOR+Shift;SeparateChain;0.539;0.348;0.362;1.348;;;;;;;;;
Optymistyczny;30000;25;XOR+Shift;TwoChoice;0.973;33.947;0.405;8.374;;;;;;;;;
Optymistyczny;30000;25;Universal;Linear;0.126;1.000;0.115;1.000;;;;;;;;;
Optymistyczny;30000;25;Universal;Quadratic;0.216;1.000;0.203;1.000;;;;;;;;;
Optymistyczny;30000;25;Universal;RobinHood;0.152;1.000;0.115;1.000;;;;;;;;;
Optymistyczny;30000;25;Universal;SeparateChain;0.548;0.000;0.406;1.000;;;;;;;;;
Optymistyczny;30000;25;Universal;TwoChoice;0.138;0.000;0.153;1.000;;;;;;;;;
Optymistyczny;30000;50;Modular;Linear;12.736;250.500;8.321;250.500;;;;;;;;;
Optymistyczny;30000;50;Modular;Quadratic;957.621;20491.956;914.921;20491.956;;;;;;;;;
Optymistyczny;30000;50;Modular;RobinHood;51.118;250.500;9.123;250.500;;;;;;;;;
Optymistyczny;30000;50;Modular;SeparateChain;25.885;249.500;24.055;250.500;;;;;;;;;
Optymistyczny;30000;50;Modular;TwoChoice;5.312;118.889;0.329;2.687;;;;;;;;;
Optymistyczny;30000;50;Multiplicative;Linear;0.428;1.000;0.228;1.000;;;;;;;;;
Optymistyczny;30000;50;Multiplicative;Quadratic;0.251;1.000;0.233;1.000;;;;;;;;;
Optymistyczny;30000;50;Multiplicative;RobinHood;0.315;1.000;0.227;1.000;;;;;;;;;
Optymistyczny;30000;50;Multiplicative;SeparateChain;1.355;0.000;1.190;1.000;;;;;;;;;
Optymistyczny;30000;50;Multiplicative;TwoChoice;0.269;0.000;0.300;1.000;;;;;;;;;
Optymistyczny;30000;50;XOR+Shift;Linear;3.627;68.401;2.764;68.401;;;;;;;;;
Optymistyczny;30000;50;XOR+Shift;Quadratic;0.742;7.149;0.704;7.149;;;;;;;;;
Optymistyczny;30000;50;XOR+Shift;RobinHood;15.238;68.401;5.412;68.401;;;;;;;;;
Optymistyczny;30000;50;XOR+Shift;SeparateChain;1.114;0.404;0.867;1.404;;;;;;;;;
Optymistyczny;30000;50;XOR+Shift;TwoChoice;3.770;67.401;0.950;11.682;;;;;;;;;
Optymistyczny;30000;50;Universal;Linear;0.373;1.000;0.243;1.000;;;;;;;;;
Optymistyczny;30000;50;Universal;Quadratic;0.261;1.000;0.233;1.000;;;;;;;;;
Optymistyczny;30000;50;Universal;RobinHood;0.398;1.000;0.231;1.000;;;;;;;;;
